,0,1,2,3,4,5
32,2.55e-05,6e-06,5.2e-05,8634292000.0,0.0264360084,2.09348851
33,2.55e-05,7e-06,5.2e-05,8634292000.0,0.0264360084,2.09348851
34,2.55e-05,8e-06,5.2e-05,8634292000.0,0.0264360084,2.09348851
35,2.55e-05,9e-06,5.2e-05,8634292000.0,0.0264360084,2.09348851
36,2.55e-05,6e-06,5.25e-05,8741377000.0,0.0266237148,2.0948794
37,2.55e-05,7e-06,5.25e-05,8741377000.0,0.0266237148,2.0948794
38,2.55e-05,8e-06,5.25e-05,8741377000.0,0.0266237148,2.0948794
39,2.55e-05,9e-06,5.25e-05,8741377000.0,0.0266237148,2.0948794
40,2.55e-05,6e-06,5.3e-05,8846513000.0,0.0268112664,2.09625706
41,2.55e-05,7e-06,5.3e-05,8846513000.0,0.0268112664,2.09625706
42,2.55e-05,8e-06,5.3e-05,8846513000.0,0.0268112664,2.09625706
43,2.55e-05,9e-06,5.3e-05,8846513000.0,0.0268112664,2.09625706
44,2.55e-05,6e-06,5.35e-05,8949799000.0,0.0269986541,2.09762264
45,2.55e-05,7e-06,5.35e-05,8949799000.0,0.0269986541,2.09762264
46,2.55e-05,8e-06,5.35e-05,8949799000.0,0.0269986541,2.09762264
47,2.55e-05,9e-06,5.35e-05,8949799000.0,0.0269986541,2.09762264
48,2.55e-05,6e-06,5.4e-05,9051045000.0,0.027185925,2.09897261
49,2.55e-05,7e-06,5.4e-05,9051045000.0,0.027185925,2.09897261
50,2.55e-05,8e-06,5.4e-05,9051045000.0,0.027185925,2.09897261
51,2.55e-05,9e-06,5.4e-05,9051045000.0,0.027185925,2.09897261
52,2.55e-05,6e-06,5.45e-05,9150268000.0,0.02737309,2.10030652
53,2.55e-05,7e-06,5.45e-05,9150268000.0,0.02737309,2.10030652
54,2.55e-05,8e-06,5.45e-05,9150268000.0,0.02737309,2.10030652
55,2.55e-05,9e-06,5.45e-05,9150268000.0,0.02737309,2.10030652
56,2.55e-05,6e-06,5.5e-05,9247766000.0,0.0275600738,2.10163084
57,2.55e-05,7e-06,5.5e-05,9247766000.0,0.0275600738,2.10163084
58,2.55e-05,8e-06,5.5e-05,9247766000.0,0.0275600738,2.10163084
59,2.55e-05,9e-06,5.5e-05,9247766000.0,0.0275600738,2.10163084
60,2.55e-05,6e-06,5.55e-05,9343268000.0,0.0277469535,2.1029397
61,2.55e-05,7e-06,5.55e-05,9343268000.0,0.0277469535,2.1029397
62,2.55e-05,8e-06,5.55e-05,9343268000.0,0.0277469535,2.1029397
63,2.55e-05,9e-06,5.55e-05,9343268000.0,0.0277469535,2.1029397
64,2.6e-05,6e-06,5.2e-05,8906186000.0,0.0270946767,2.09827256
65,2.6e-05,7e-06,5.2e-05,8906186000.0,0.0270946767,2.09827256
66,2.6e-05,8e-06,5.2e-05,8906186000.0,0.0270946767,2.09827256
67,2.6e-05,9e-06,5.2e-05,8906186000.0,0.0270946767,2.09827256
68,2.6e-05,6e-06,5.25e-05,9012928000.0,0.0272884397,2.09966251
69,2.6e-05,7e-06,5.25e-05,9012928000.0,0.0272884397,2.09966251
70,2.6e-05,8e-06,5.25e-05,9012928000.0,0.0272884397,2.09966251
71,2.6e-05,9e-06,5.25e-05,9012928000.0,0.0272884397,2.09966251
72,2.6e-05,6e-06,5.3e-05,9117669000.0,0.0274820595,2.10103808
73,2.6e-05,7e-06,5.3e-05,9117669000.0,0.0274820595,2.10103808
74,2.6e-05,8e-06,5.3e-05,9117669000.0,0.0274820595,2.10103808
75,2.6e-05,9e-06,5.3e-05,9117669000.0,0.0274820595,2.10103808
76,2.6e-05,6e-06,5.35e-05,9220418000.0,0.027675533,2.10239956
77,2.6e-05,7e-06,5.35e-05,9220418000.0,0.027675533,2.10239956
78,2.6e-05,8e-06,5.35e-05,9220418000.0,0.027675533,2.10239956
79,2.6e-05,9e-06,5.35e-05,9220418000.0,0.027675533,2.10239956
80,2.6e-05,6e-06,5.4e-05,9321227000.0,0.0278688732,2.10374733
81,2.6e-05,7e-06,5.4e-05,9321227000.0,0.0278688732,2.10374733
82,2.6e-05,8e-06,5.4e-05,9321227000.0,0.0278688732,2.10374733
83,2.6e-05,9e-06,5.4e-05,9321227000.0,0.0278688732,2.10374733
84,2.6e-05,6e-06,5.45e-05,9420111000.0,0.0280620714,2.1050816
85,2.6e-05,7e-06,5.45e-05,9420111000.0,0.0280620714,2.1050816
86,2.6e-05,8e-06,5.45e-05,9420111000.0,0.0280620714,2.1050816
87,2.6e-05,9e-06,5.45e-05,9420111000.0,0.0280620714,2.1050816
88,2.6e-05,6e-06,5.5e-05,9517084000.0,0.0282551302,2.10640267
89,2.6e-05,7e-06,5.5e-05,9517084000.0,0.0282551302,2.10640267
90,2.6e-05,8e-06,5.5e-05,9517084000.0,0.0282551302,2.10640267
91,2.6e-05,9e-06,5.5e-05,9517084000.0,0.0282551302,2.10640267
92,2.6e-05,6e-06,5.55e-05,9612206000.0,0.0284480512,2.1077108
93,2.6e-05,7e-06,5.55e-05,9612206000.0,0.0284480512,2.1077108
94,2.6e-05,8e-06,5.55e-05,9612206000.0,0.0284480512,2.1077108
95,2.6e-05,9e-06,5.55e-05,9612206000.0,0.0284480512,2.1077108
96,2.65e-05,6e-06,5.2e-05,9184378000.0,0.0277870234,2.1031392
97,2.65e-05,7e-06,5.2e-05,9184378000.0,0.0277870234,2.1031392
98,2.65e-05,8e-06,5.2e-05,9184378000.0,0.0277870234,2.1031392
99,2.65e-05,9e-06,5.2e-05,9184378000.0,0.0277870234,2.1031392
100,2.65e-05,6e-06,5.25e-05,9290675000.0,0.0279871718,2.10452707
101,2.65e-05,7e-06,5.25e-05,9290675000.0,0.0279871718,2.10452707
102,2.65e-05,8e-06,5.25e-05,9290675000.0,0.0279871718,2.10452707
103,2.65e-05,9e-06,5.25e-05,9290675000.0,0.0279871718,2.10452707
104,2.65e-05,6e-06,5.3e-05,9394939000.0,0.0281871682,2.10590065
105,2.65e-05,7e-06,5.3e-05,9394939000.0,0.0281871682,2.10590065
106,2.65e-05,8e-06,5.3e-05,9394939000.0,0.0281871682,2.10590065
107,2.65e-05,9e-06,5.3e-05,9394939000.0,0.0281871682,2.10590065
108,2.65e-05,6e-06,5.35e-05,9497220000.0,0.0283870292,2.10726032
109,2.65e-05,7e-06,5.35e-05,9497220000.0,0.0283870292,2.10726032
110,2.65e-05,8e-06,5.35e-05,9497220000.0,0.0283870292,2.10726032
111,2.65e-05,9e-06,5.35e-05,9497220000.0,0.0283870292,2.10726032
112,2.65e-05,6e-06,5.4e-05,9597557000.0,0.0285867422,2.10860631
113,2.65e-05,7e-06,5.4e-05,9597557000.0,0.0285867422,2.10860631
114,2.65e-05,8e-06,5.4e-05,9597557000.0,0.0285867422,2.10860631
115,2.65e-05,9e-06,5.4e-05,9597557000.0,0.0285867422,2.10860631
116,2.65e-05,6e-06,5.45e-05,9695943000.0,0.0287863115,2.10993891
117,2.65e-05,7e-06,5.45e-05,9695943000.0,0.0287863115,2.10993891
118,2.65e-05,8e-06,5.45e-05,9695943000.0,0.0287863115,2.10993891
119,2.65e-05,9e-06,5.45e-05,9695943000.0,0.0287863115,2.10993891
120,2.65e-05,6e-06,5.5e-05,9792439000.0,0.0289857386,2.11125841
121,2.65e-05,7e-06,5.5e-05,9792439000.0,0.0289857386,2.11125841
122,2.65e-05,8e-06,5.5e-05,9792439000.0,0.0289857386,2.11125841
123,2.65e-05,9e-06,5.5e-05,9792439000.0,0.0289857386,2.11125841
124,2.65e-05,6e-06,5.55e-05,9887063000.0,0.0291850247,2.11256507
125,2.65e-05,7e-06,5.55e-05,9887063000.0,0.0291850247,2.11256507
126,2.65e-05,8e-06,5.55e-05,9887063000.0,0.0291850247,2.11256507
127,2.65e-05,9e-06,5.55e-05,9887063000.0,0.0291850247,2.11256507
128,2.7e-05,6e-06,5.2e-05,9469815000.0,0.0285179277,2.10810718
129,2.7e-05,7e-06,5.2e-05,9469815000.0,0.0285179277,2.10810718
130,2.7e-05,8e-06,5.2e-05,9469815000.0,0.0285179277,2.10810718
131,2.7e-05,9e-06,5.2e-05,9469815000.0,0.0285179277,2.10810718
132,2.7e-05,6e-06,5.25e-05,9575561000.0,0.0287248184,2.10949319
133,2.7e-05,7e-06,5.25e-05,9575561000.0,0.0287248184,2.10949319
134,2.7e-05,8e-06,5.25e-05,9575561000.0,0.0287248184,2.10949319
135,2.7e-05,9e-06,5.25e-05,9575561000.0,0.0287248184,2.10949319
136,2.7e-05,6e-06,5.3e-05,9679324000.0,0.0289315605,2.11086506
137,2.7e-05,7e-06,5.3e-05,9679324000.0,0.0289315605,2.11086506
138,2.7e-05,8e-06,5.3e-05,9679324000.0,0.0289315605,2.11086506
139,2.7e-05,9e-06,5.3e-05,9679324000.0,0.0289315605,2.11086506
140,2.7e-05,6e-06,5.35e-05,9781061000.0,0.0291381528,2.11222306
141,2.7e-05,7e-06,5.35e-05,9781061000.0,0.0291381528,2.11222306
142,2.7e-05,8e-06,5.35e-05,9781061000.0,0.0291381528,2.11222306
143,2.7e-05,9e-06,5.35e-05,9781061000.0,0.0291381528,2.11222306
144,2.7e-05,6e-06,5.4e-05,9880869000.0,0.029344596,2.11356749
145,2.7e-05,7e-06,5.4e-05,9880869000.0,0.029344596,2.11356749
146,2.7e-05,8e-06,5.4e-05,9880869000.0,0.029344596,2.11356749
147,2.7e-05,9e-06,5.4e-05,9880869000.0,0.029344596,2.11356749
148,2.7e-05,6e-06,5.45e-05,9978727000.0,0.0295508952,2.11489865
149,2.7e-05,7e-06,5.45e-05,9978727000.0,0.0295508952,2.11489865
150,2.7e-05,8e-06,5.45e-05,9978727000.0,0.0295508952,2.11489865
151,2.7e-05,9e-06,5.45e-05,9978727000.0,0.0295508952,2.11489865
152,2.7e-05,6e-06,5.5e-05,10074690000.0,0.0297570474,2.11621678
153,2.7e-05,7e-06,5.5e-05,10074690000.0,0.0297570474,2.11621678
154,2.7e-05,8e-06,5.5e-05,10074690000.0,0.0297570474,2.11621678
155,2.7e-05,9e-06,5.5e-05,10074690000.0,0.0297570474,2.11621678
156,2.7e-05,6e-06,5.55e-05,10168790000.0,0.029963045,2.1175221
157,2.7e-05,7e-06,5.55e-05,10168790000.0,0.029963045,2.1175221
158,2.7e-05,8e-06,5.55e-05,10168790000.0,0.029963045,2.1175221
159,2.7e-05,9e-06,5.55e-05,10168790000.0,0.029963045,2.1175221
160,2.75e-05,6e-06,5.2e-05,9763582000.0,0.0292932919,2.11319997
161,2.75e-05,7e-06,5.2e-05,9763582000.0,0.0292932919,2.11319997
162,2.75e-05,8e-06,5.2e-05,9763582000.0,0.0292932919,2.11319997
163,2.75e-05,9e-06,5.2e-05,9763582000.0,0.0292932919,2.11319997
164,2.75e-05,6e-06,5.25e-05,9868781000.0,0.0295073292,2.11458504
165,2.75e-05,7e-06,5.25e-05,9868781000.0,0.0295073292,2.11458504
